ride_id,driver_id,driver_experience,ride_duration_min,ride_distance_km,driver_rating,fraud_flag,fraud_reason,ride_timestamp,surge_pricing,ride_cancellation,payment_status,average_wait_time_min,city,weather_condition
RIDE_0,DRIVER_82,7,11,7.763553881029511,3.753096943120948,True,Drop-off to Unknown place,2024-10-08 21:58:10.824723,False,False,Success,26.456813020291595,Tallinn,Foggy
RIDE_1,DRIVER_15,20,22,5.1337493431363805,1.562211870313443,True,Drop-off to Unknown place,2024-08-06 21:58:10.824735,False,False,Success,41.099039913521985,Valga,Cloudy
RIDE_2,DRIVER_4,15,31,9.55298912247571,2.942358798637591,True,Drop-off to Unknown place,2024-12-31 21:58:10.824738,False,True,Success,25.38036833741635,Saaremaa,Cloudy
RIDE_3,DRIVER_95,11,38,3.598431970500816,1.110146879477862,True,Overcharged,2024-01-11 21:58:10.824739,False,True,Success,8.677933401510028,Rapla,Foggy
RIDE_4,DRIVER_36,8,31,16.872746784028898,3.0218204716418,False,,2024-04-09 21:58:10.824742,True,False,Paid,17.66294764557101,Keila,Cloudy
RIDE_5,DRIVER_32,7,21,28.224959384258923,4.856069628470809,True,Drop-off to Unknown place,2024-11-04 21:58:10.824744,True,True,Paid,38.098374061308796,Rapla,Foggy
RIDE_6,DRIVER_29,19,47,3.10161913871827,2.536826851943201,True,Ride canceled,2024-08-20 21:58:10.824746,False,False,Success,29.345372703543187,Narva,Foggy
RIDE_7,DRIVER_18,11,48,5.41907759228075,1.1559840502996463,True,Drop-off to Unknown place,2024-12-15 21:58:10.824747,False,True,Pending,29.631872910687214,Voru,Foggy
RIDE_8,DRIVER_95,11,55,14.661572791936187,1.1238231636773741,True,Ride canceled,2024-12-11 21:58:10.824749,True,True,Success,39.140145370293524,Valga,Rainy
RIDE_9,DRIVER_14,4,58,28.148500490781338,2.551947039787478,False,,2024-03-30 21:58:10.824751,True,False,Success,40.33481452835021,Saaremaa,Stormy
RIDE_10,DRIVER_87,8,28,10.852370939349015,1.6400997458527762,True,Drop-off to Unknown place,2024-08-11 21:58:10.824753,True,False,Success,41.4708731582952,Rapla,Rainy
RIDE_11,DRIVER_95,3,29,16.20257464327499,1.0934083853127436,False,,2024-01-16 21:58:10.824755,True,False,Pending,5.173364503138869,Tartu,Foggy
RIDE_12,DRIVER_70,2,11,3.1640400534109787,4.024854455800707,True,Overcharged,2024-11-04 21:58:10.824756,False,True,Pending,24.94154408637644,Elva,Stormy
RIDE_13,DRIVER_12,12,56,6.153609626938488,2.8340920355275627,False,,2024-02-16 21:58:10.824758,False,False,Pending,33.58241893360602,Valga,Stormy
RIDE_14,DRIVER_76,6,10,29.625643442847714,2.156979087890618,False,,2024-05-01 21:58:10.824760,True,False,Paid,34.30478118558861,Parnu,Foggy
RIDE_15,DRIVER_55,2,57,29.023323500209276,4.600332732065922,True,Overcharged,2024-11-16 21:58:10.824762,True,False,Pending,27.69551288668017,Tartu,Stormy
RIDE_16,DRIVER_5,1,28,2.1383194661634692,1.4645558408021024,True,Ride canceled,2025-01-01 21:58:10.824764,True,False,Paid,8.338642748081664,Elva,Stormy
RIDE_17,DRIVER_4,12,37,28.650729991850692,4.823675315821276,False,,2024-03-20 21:58:10.824766,True,False,Paid,36.08650437343323,Keila,Rainy
RIDE_18,DRIVER_12,12,53,19.89535825883401,2.2558668695094113,False,,2024-08-15 21:58:10.824767,True,True,Pending,32.68489867465761,Tapa,Stormy
RIDE_19,DRIVER_28,17,33,26.30171224656062,4.553614689234725,True,Drop-off to Unknown place,2024-05-12 21:58:10.824769,True,False,Pending,4.789973948157597,Voru,Foggy
RIDE_20,DRIVER_30,10,47,14.732715957748056,3.411771505917846,False,,2024-05-07 21:58:10.824771,False,False,Pending,21.407632285672555,Keila,Sunny
RIDE_21,DRIVER_65,16,26,16.436688800219006,4.30682943896595,False,,2024-05-27 21:58:10.824772,False,True,Paid,8.655005578959358,Valga,Sunny
RIDE_22,DRIVER_78,15,30,15.687704247193764,4.936052652841857,False,,2024-07-17 21:58:10.824774,False,False,Success,15.848990011370763,Saaremaa,Sunny
RIDE_23,DRIVER_4,15,32,20.672199211290923,2.153621751274983,True,Drop-off to Unknown place,2024-10-05 21:58:10.824775,True,False,Pending,1.795568057050159,Tallinn,Foggy
RIDE_24,DRIVER_72,19,54,5.910235133176761,4.844541941630371,False,,2024-12-12 21:58:10.824777,True,False,Pending,18.614514210073363,Elva,Sunny
RIDE_25,DRIVER_26,12,25,2.8392605164349827,2.5579275796096814,False,,2024-08-31 21:58:10.824779,True,False,Pending,25.19458453087326,Parnu,Rainy
RIDE_26,DRIVER_92,20,53,10.622038364553346,2.5420476189476893,False,,2024-05-08 21:58:10.824781,False,False,Paid,28.261634084391822,Rapla,Foggy
RIDE_27,DRIVER_84,3,11,21.731061356626107,2.3615484170180228,True,Ride canceled,2024-11-10 21:58:10.824782,True,True,Paid,30.193575185663242,Tallinn,Foggy
RIDE_28,DRIVER_90,5,21,7.651896659442555,3.165630429390341,True,Overcharged,2024-12-05 21:58:10.824784,True,True,Success,37.79681777650824,Keila,Foggy
RIDE_29,DRIVER_70,19,24,20.856108133097685,1.6165801727139484,False,,2024-06-16 21:58:10.824786,False,True,Pending,10.480367920132121,Tartu,Stormy
RIDE_30,DRIVER_54,7,45,29.15753729100357,3.2148459414320447,True,Drop-off to Unknown place,2024-05-01 21:58:10.824787,True,False,Paid,6.30120018729259,Voru,Stormy
RIDE_31,DRIVER_29,9,53,4.629220042103714,3.166819249640016,False,,2024-12-01 21:58:10.824789,False,True,Success,38.46763556350873,Keila,Stormy
RIDE_32,DRIVER_58,7,24,20.832859310303537,4.04760725041948,True,Ride canceled,2024-03-18 21:58:10.824790,False,False,Pending,7.8909638552765955,Saaremaa,Cloudy
RIDE_33,DRIVER_76,18,58,14.425006140527993,4.334599847750342,True,Drop-off to Unknown place,2024-02-20 21:58:10.824792,True,False,Paid,43.889443578792594,Keila,Rainy
RIDE_34,DRIVER_36,4,26,26.30798312257015,2.761765401249696,False,,2024-01-22 21:58:10.824794,False,False,Pending,38.071682093540026,Tallinn,Foggy
RIDE_35,DRIVER_1,14,32,6.960194104526805,2.209332997405975,True,Drop-off to Unknown place,2024-12-11 21:58:10.824796,True,True,Pending,23.038570659142362,Parnu,Foggy
RIDE_36,DRIVER_98,18,44,21.393526662332608,2.037339589268378,True,Ride canceled,2024-10-22 21:58:10.824797,False,True,Paid,44.18254269656911,Elva,Stormy
RIDE_37,DRIVER_21,9,53,25.467228110147087,1.7784953468194877,True,Drop-off to Unknown place,2024-10-23 21:58:10.824799,True,True,Paid,5.284576080752185,Saaremaa,Foggy
RIDE_38,DRIVER_90,2,11,28.44919814527265,1.2305903287960995,False,,2024-03-25 21:58:10.824800,False,False,Paid,14.334893491704472,Tapa,Foggy
RIDE_39,DRIVER_55,20,5,21.130944792110082,2.3697919153388534,True,Drop-off to Unknown place,2024-08-05 21:58:10.824802,True,True,Pending,29.081874261786904,Rapla,Sunny
RIDE_40,DRIVER_44,15,36,15.920893392235964,2.080990768523133,True,Drop-off to Unknown place,2024-11-25 21:58:10.824804,False,False,Pending,16.400302212819867,Keila,Foggy
RIDE_41,DRIVER_36,7,17,19.299722725633988,4.865669543465629,False,,2024-09-02 21:58:10.824806,False,True,Success,41.84839228715484,Keila,Cloudy
RIDE_42,DRIVER_20,12,34,26.329339565404112,3.2308353050001757,True,Ride canceled,2024-11-08 21:58:10.824807,False,True,Pending,3.887547879823973,Voru,Stormy
RIDE_43,DRIVER_28,8,27,17.977072905887233,2.38910815612203,True,Overcharged,2024-03-28 21:58:10.824809,True,False,Paid,25.17412061068244,Tallinn,Rainy
RIDE_44,DRIVER_98,15,55,2.850837671511432,3.321870403974784,True,Ride canceled,2024-06-08 21:58:10.824810,True,False,Pending,26.998115765385037,Voru,Rainy
RIDE_45,DRIVER_44,3,23,28.066563474195377,1.556786805382782,True,Drop-off to Unknown place,2024-03-03 21:58:10.824812,False,True,Success,29.72003744619786,Voru,Sunny
RIDE_46,DRIVER_14,14,36,21.30674902888371,2.7761749968088116,True,Ride canceled,2024-03-08 21:58:10.824814,True,True,Success,12.249313826599835,Voru,Rainy
RIDE_47,DRIVER_12,17,34,20.942374801762902,3.5049372856842553,False,,2024-02-26 21:58:10.824816,False,True,Paid,17.040922810874036,Elva,Rainy
RIDE_48,DRIVER_49,4,33,8.03890426713608,2.9555913271698055,False,,2024-09-14 21:58:10.824817,True,False,Paid,38.121943305259016,Voru,Stormy
RIDE_49,DRIVER_13,18,53,20.448793166514402,2.607115202617297,True,Overcharged,2024-04-15 21:58:10.824819,False,False,Success,9.577481834687033,Tapa,Stormy
RIDE_50,DRIVER_46,8,49,13.028203358316437,4.975393555598792,True,Ride canceled,2024-06-27 21:58:10.824821,True,True,Success,37.38218527562793,Keila,Cloudy
RIDE_51,DRIVER_45,4,33,20.234523357161777,4.521259048595708,True,Overcharged,2024-05-22 21:58:10.824822,False,True,Success,25.756838607720667,Tartu,Sunny
RIDE_52,DRIVER_78,2,34,4.98460484862374,3.4936238326377604,False,,2024-05-26 21:58:10.824824,False,False,Paid,34.536250492539615,Parnu,Rainy
RIDE_53,DRIVER_34,6,20,20.41966852888501,3.277509444729131,False,,2024-08-08 21:58:10.824826,False,True,Success,32.39872411559275,Saaremaa,Cloudy
